# Blue Lias Formation, Southam Quarry, magnetic susceptibility + lithology
# Source: Weedon et al. 2019, PANGAEA https://doi.org/10.1594/PANGAEA.896875 (CC-BY-4.0)
# UK, Hettangian-Sinemurian limestone-marl-shale rhythmite. Real measurements, 2cm spacing.
height_m,magnetic_susceptibility,lithology
19.68,0.0240,Limestone
19.71,0.0215,Limestone
19.74,0.0205,Limestone
19.77,0.0190,Limestone
19.80,0.0175,Limestone
19.83,0.0400,Dark marl
19.86,0.0550,Dark marl
19.89,0.0485,Dark marl
19.92,0.0475,Light marl
19.95,0.0440,Light marl
19.98,0.0490,Dark marl
20.01,0.0355,Dark marl
20.04,0.0530,Light marl
20.07,0.0440,Light marl
20.10,0.0280,Light marl
20.13,0.0180,Limestone
20.16,0.0160,Limestone
20.19,0.0420,Light marl
20.22,0.0415,Light marl
20.25,0.0445,Light marl
20.28,0.0425,Light marl
20.31,0.0465,Dark marl
20.34,0.0500,Dark marl
20.37,0.0505,Dark marl
20.40,0.0445,Dark marl
20.43,0.0460,Dark marl
20.46,0.0210,Limestone
20.49,0.0160,Limestone
20.52,0.0250,Limestone
20.55,0.0440,Light marl
20.58,0.0140,Limestone
20.61,0.0165,Limestone
20.64,0.0475,Light marl
20.67,0.0475,Laminated shale
20.70,0.0600,Laminated shale
20.73,0.0535,Laminated shale
20.76,0.0560,Dark marl
20.79,0.0540,Light marl
20.82,0.0345,Light marl
20.85,0.0170,Limestone
20.88,0.0180,Limestone
20.91,0.0355,Light marl
20.94,0.0480,Light marl
20.97,0.0455,Dark marl
21.00,0.0490,Light marl
21.03,0.0490,Light marl
21.06,0.0520,Light marl
21.09,0.0265,Limestone
21.12,0.0185,Limestone
21.15,0.0185,Limestone
21.18,0.0215,Limestone
21.21,0.0530,Dark marl
21.24,0.0570,Dark marl
21.27,0.0570,Dark marl
21.30,0.0575,Dark marl
21.33,0.0510,Dark marl
21.36,0.0595,Light marl
21.39,0.0465,Light marl
21.42,0.0500,Light marl
21.45,0.0460,Light marl
21.48,0.0480,Light marl
21.51,0.0435,Light marl
21.54,0.0490,Light marl
21.57,0.0495,Light marl
21.60,0.0445,Light marl
21.63,0.0500,Light marl
21.66,0.0510,Light marl
21.69,0.0445,Light marl
21.72,0.0350,Light marl
21.75,0.0240,Limestone
21.78,0.0235,Limestone
21.81,0.0185,Limestone
21.84,0.0240,Limestone
21.87,0.0190,Limestone
21.90,0.0260,Light marl
